,Neighborhood
0,Parkwoods
1,Victoria Village
2,"Regent Park , Harbourfront"
3,"Lawrence Manor , Lawrence Heights"
4,"Queen's Park , Ontario Provincial Government"
5,Islington Avenue
6,"Malvern , Rouge"
7,Don Mills
8,"Parkview Hill , Woodbine Gardens"
9,"Garden District, Ryerson"
10,Glencairn
11,"West Deane Park , Princess Gardens , Martin Grove , Islington , Cloverdale"
12,"Rouge Hill , Port Union , Highland Creek"
13,Don Mills
14,Woodbine Heights
15,St. James Town
16,Humewood-Cedarvale
17,"Eringate , Bloordale Gardens , Old Burnhamthorpe , Markland Wood"
18,"Guildwood , Morningside , West Hill"
19,The Beaches
20,Berczy Park
21,Caledonia-Fairbanks
22,Woburn
23,Leaside
24,Central Bay Street
25,Christie
26,Cedarbrae
27,Hillcrest Village
28,"Bathurst Manor , Wilson Heights , Downsview North"
29,Thorncliffe Park
30,"Richmond , Adelaide , King"
31,"Dufferin , Dovercourt Village"
32,Scarborough Village
33,"Fairview , Henry Farm , Oriole"
34,"Northwood Park , York University"
35,East Toronto
36,"Harbourfront East , Union Station , Toronto Islands"
37,"Little Portugal , Trinity"
38,"Kennedy Park , Ionview , East Birchmount Park"
39,Bayview Village
40,Downsview
41,"The Danforth West , Riverdale"
42,"Toronto Dominion Centre , Design Exchange"
43,"Brockton , Parkdale Village , Exhibition Place"
44,"Golden Mile , Clairlea , Oakridge"
45,"York Mills , Silver Hills"
46,Downsview
47,"India Bazaar , The Beaches West"
48,"Commerce Court , Victoria Hotel"
49,"North Park , Maple Leaf Park , Upwood Park"
50,Humber Summit
51,"Cliffside , Cliffcrest , Scarborough Village West"
52,"Willowdale , Newtonbrook"
53,Downsview
54,Studio District
55,"Bedford Park , Lawrence Manor East"
56,"Del Ray , Mount Dennis , Keelsdale and Silverthorn"
57,"Humberlea , Emery"
58,"Birch Cliff , Cliffside West"
59,Willowdale
60,Downsview
61,Lawrence Park
62,Roselawn
63,"Runnymede , The Junction North"
64,Weston
65,"Dorset Park , Wexford Heights , Scarborough Town Centre"
66,York Mills West
67,Davisville North
68,Forest Hill North & West
69,"High Park , The Junction South"
70,Westmount
71,"Wexford , Maryvale"
72,Willowdale
73,North Toronto West
74,"The Annex , North Midtown , Yorkville"
75,"Parkdale , Roncesvalles"
76,Canada Post Gateway Processing Centre
77,"Kingsview Village , St. Phillips , Martin Grove Gardens , Richview Gardens"
78,Agincourt
79,Davisville
80,"University of Toronto , Harbord"
81,"Runnymede , Swansea"
82,"Clarks Corners , Tam O'Shanter , Sullivan"
83,"Moore Park , Summerhill East"
84,"Kensington Market , Chinatown , Grange Park"
85,"Milliken , Agincourt North , Steeles East , L'Amoreaux East"
86,"Summerhill West , Rathnelly , South Hill , Forest Hill SE , Deer Park"
87,"CN Tower , King and Spadina , Railway Lands , Harbourfront West , Bathurst Quay , South Niagara , Island airport"
88,"New Toronto , Mimico South , Humber Bay Shores"
89,"South Steeles , Silverstone , Humbergate , Jamestown , Mount Olive , Beaumond Heights , Thistletown , Albion Gardens"
90,"Steeles West , L'Amoreaux West"
91,Rosedale
92,Stn A PO Boxes
93,"Alderwood , Long Branch"
94,Northwest
95,Upper Rouge
96,"St. James Town , Cabbagetown"
97,"First Canadian Place , Underground city"
98,"The Kingsway , Montgomery Road  , Old Mill North"
99,Church and Wellesley
100,Business reply mail Processing CentrE
101,"Old Mill South , King's Mill Park , Sunnylea , Humber Bay , Mimico NE , The Queensway East , Royal York South East , Kingsway Park South East"
102,"Mimico NW , The Queensway West , South of Bloor , Kingsway Park South West , Royal York South West"
