,0
0,Parkwoods
1,Victoria Village
2,"Regent Park , Harbourfront"
3,"Lawrence Manor , Lawrence Heights"
4,"Queen's Park , Ontario Provincial Government"
5,"Malvern , Rouge"
6,Don Mills
7,"Parkview Hill , Woodbine Gardens"
8,"Garden District, Ryerson"
9,Glencairn
10,"Rouge Hill , Port Union , Highland Creek"
11,Woodbine Heights
12,St. James Town
13,Humewood-Cedarvale
14,"Eringate , Bloordale Gardens , Old Burnhamthorpe , Markland Wood"
15,"Guildwood , Morningside , West Hill"
16,The Beaches
17,Berczy Park
18,Caledonia-Fairbanks
19,Woburn
20,Leaside
21,Central Bay Street
22,Christie
23,Cedarbrae
24,Hillcrest Village
25,"Bathurst Manor , Wilson Heights , Downsview North"
26,Thorncliffe Park
27,"Richmond , Adelaide , King"
28,"Dufferin , Dovercourt Village"
29,Scarborough Village
30,"Fairview , Henry Farm , Oriole"
31,"Northwood Park , York University"
32,East Toronto
33,"Harbourfront East , Union Station , Toronto Islands"
34,"Little Portugal , Trinity"
35,"Kennedy Park , Ionview , East Birchmount Park"
36,Bayview Village
37,Downsview
38,"The Danforth West , Riverdale"
39,"Toronto Dominion Centre , Design Exchange"
40,"Brockton , Parkdale Village , Exhibition Place"
41,"Golden Mile , Clairlea , Oakridge"
42,"India Bazaar , The Beaches West"
43,"Commerce Court , Victoria Hotel"
44,"North Park , Maple Leaf Park , Upwood Park"
45,Humber Summit
46,"Cliffside , Cliffcrest , Scarborough Village West"
47,Studio District
48,"Bedford Park , Lawrence Manor East"
49,"Del Ray , Mount Dennis , Keelsdale and Silverthorn"
50,"Humberlea , Emery"
51,"Birch Cliff , Cliffside West"
52,Willowdale
53,Lawrence Park
54,Roselawn
55,"Runnymede , The Junction North"
56,Weston
57,"Dorset Park , Wexford Heights , Scarborough Town Centre"
58,York Mills West
59,Davisville North
60,Forest Hill North & West
61,"High Park , The Junction South"
62,Westmount
63,"Wexford , Maryvale"
64,North Toronto West
65,"The Annex , North Midtown , Yorkville"
66,"Parkdale , Roncesvalles"
67,Canada Post Gateway Processing Centre
68,"Kingsview Village , St. Phillips , Martin Grove Gardens , Richview Gardens"
69,Agincourt
70,Davisville
71,"University of Toronto , Harbord"
72,"Runnymede , Swansea"
73,"Clarks Corners , Tam O'Shanter , Sullivan"
74,"Moore Park , Summerhill East"
75,"Kensington Market , Chinatown , Grange Park"
76,"Milliken , Agincourt North , Steeles East , L'Amoreaux East"
77,"Summerhill West , Rathnelly , South Hill , Forest Hill SE , Deer Park"
78,"CN Tower , King and Spadina , Railway Lands , Harbourfront West , Bathurst Quay , South Niagara , Island airport"
79,"New Toronto , Mimico South , Humber Bay Shores"
80,"South Steeles , Silverstone , Humbergate , Jamestown , Mount Olive , Beaumond Heights , Thistletown , Albion Gardens"
81,"Steeles West , L'Amoreaux West"
82,Rosedale
83,Stn A PO Boxes
84,"Alderwood , Long Branch"
85,Northwest
86,"St. James Town , Cabbagetown"
87,"First Canadian Place , Underground city"
88,"The Kingsway , Montgomery Road  , Old Mill North"
89,Church and Wellesley
90,Business reply mail Processing CentrE
91,"Old Mill South , King's Mill Park , Sunnylea , Humber Bay , Mimico NE , The Queensway East , Royal York South East , Kingsway Park South East"
92,"Mimico NW , The Queensway West , South of Bloor , Kingsway Park South West , Royal York South West"
